Town,population
Andover,3149
Ansonia,18902
Ashford,4185
Avon,18918
Barkhamsted,3650
Beacon Falls,5993
Berlin,20154
Bethany,5294
Bethel,20331
Bethlehem,3380
Bloomfield,21460
Bolton,4868
Bozrah,2422
Branford,28220
Bridgeport,148698
Bridgewater,1659
Bristol,60786
Brookfield,17517
Brooklyn,8451
Burlington,9520
Canaan,1081
Canterbury,5041
Canton,10125
Chaplin,2141
Cheshire,28728
Chester,3744
Clinton,13174
Colchester,15548
Colebrook,1360
Columbia,5263
Cornwall,1566
Coventry,12238
Cromwell,14203
Danbury,86570
Darien,21527
Deep River,4412
Derby,12326
Durham,7151
East Granby,5218
East Haddam,8872
East Hampton,12709
East Hartford,51016
East Haven,27874
East Lyme,18645
East Windsor,11167
Eastford,1650
Easton,7603
Ellington,16428
Enfield,42128
Essex,6713
Fairfield,61472
Farmington,26673
Franklin,1863
Glastonbury,35108
Goshen,3148
Granby,10891
Greenwich,63502
Griswold,11411
Groton,38445
Guilford,22045
Haddam,8449
Hamden,61065
Hampton,1729
Hartford,121026
Hartland,1900
Harwinton,5470
Hebron,9102
Kent,3014
Killingly,17738
Killingworth,6173
Lebanon,7142
Ledyard,15420
Lisbon,4191
Litchfield,8165
Lyme,2352
Madison,17658
Manchester,59693
Mansfield,25883
Marlborough,6127
Meriden,60794
Middlebury,7577
Middlefield,4217
Middletown,47676
Milford,51954
Monroe,18808
Montville,18377
Morris,2250
Naugatuck,31517
New Britain,74125
New Canaan,20605
New Fairfield,13570
New Hartford,6652
New Haven,134052
New London,27376
New Milford,28106
Newington,30464
Newtown,27154
Norfolk,1585
North Branford,13535
North Canaan,3198
North Haven,24237
North Stonington,5152
Norwalk,91194
Norwich,40152
Old Lyme,7615
Old Saybrook,10442
Orange,14255
Oxford,12702
Plainfield,14984
Plainville,17516
Plymouth,11668
Pomfret,4270
Portland,9371
Preston,4784
Prospect,9403
Putnam,9219
Redding,8742
Ridgefield,25009
Rocky Hill,20780
Roxbury,2260
Salem,4214
Salisbury,4191
Scotland,1576
Seymour,16707
Sharon,2675
Shelton,40756
Sherman,3521
Simsbury,24516
Somers,10254
South Windsor,26903
Southbury,19786
Southington,43447
Sprague,2973
Stafford,11460
Stamford,135511
Sterling,3581
Stonington,18288
Stratford,52265
Suffield,15725
Thomaston,7426
Thompson,9185
Tolland,14552
Torrington,35422
Trumbull,36742
Union,784
Vernon,30218
Voluntown,2564
Wallingford,44317
Warren,1348
Washington,3644
Waterbury,114426
Waterford,19516
Watertown,22083
West Hartford,64019
West Haven,55536
Westbrook,6757
Weston,10360
Westport,27128
Wethersfield,27272
Willington,5568
Wilton,18465
Winchester,10226
Windham,24426
Windsor Locks,12592
Windsor,29413
Wolcott,16117
Woodbridge,9074
Woodbury,9711
Woodstock,8228
